,Date,Close Price,Open Price,High Price,Low Price,Total Traded Quantity,Month,Year,Day_Perc_Change,Trend
0,2019-10-24,1780.78,1770.78,1787.97,1760.78,5.2,10,2019,0.0,Slight or No change
1,2019-10-23,1762.17,1761.3,1770.05,1742.0,2.19,10,2019,-0.01045047675737587,Slight or No change
2,2019-10-22,1765.73,1788.15,1789.78,1762.0,2.23,10,2019,0.002020236413058818,Slight or No change
3,2019-10-21,1785.66,1769.66,1785.88,1765.0,2.22,10,2019,0.011287116376796025,Slight or No change
4,2019-10-18,1757.51,1787.8,1793.98,1749.2,3.37,10,2019,-0.015764479240168994,Slight or No change
5,2019-10-17,1787.48,1796.49,1798.85,1782.02,2.71,10,2019,0.01705253455172384,Slight or No change
6,2019-10-16,1777.43,1773.33,1786.24,1770.52,2.8,10,2019,-0.0056224405308030745,Slight or No change
7,2019-10-15,1767.38,1742.14,1776.45,1740.62,3.13,10,2019,-0.005654231108960683,Slight or No change
8,2019-10-14,1736.43,1728.91,1741.89,1722.0,1.93,10,2019,-0.017511797123425654,Slight or No change
9,2019-10-11,1731.92,1742.92,1745.45,1729.86,3.28,10,2019,-0.0025972829310711987,Slight or No change
10,2019-10-10,1720.26,1725.24,1738.29,1713.75,2.72,10,2019,-0.006732412582567404,Slight or No change
11,2019-10-09,1721.99,1719.61,1729.95,1714.36,2.09,10,2019,0.001005661934823765,Slight or No change
12,2019-10-08,1705.51,1722.49,1727.0,1705.0,2.63,10,2019,-0.00957032270802971,Slight or No change
13,2019-10-07,1732.66,1731.63,1747.83,1723.7,2.19,10,2019,0.015918991973075558,Slight or No change
14,2019-10-04,1739.65,1726.02,1740.58,1719.23,2.49,10,2019,0.0040342594623294925,Slight or No change
15,2019-10-03,1724.42,1713.0,1725.0,1685.06,3.62,10,2019,-0.008754634552927354,Slight or No change
16,2019-10-02,1713.23,1727.74,1728.89,1705.0,3.34,10,2019,-0.006489138376961523,Slight or No change
17,2019-10-01,1735.65,1746.0,1755.6,1728.41,3.17,10,2019,0.013086392369967781,Slight or No change
18,2019-09-30,1735.91,1726.99,1737.46,1709.22,2.76,9,2019,0.00014979978682339024,Slight or No change
19,2019-09-27,1725.45,1748.0,1749.12,1713.82,3.95,9,2019,-0.006025658012224211,Slight or No change
20,2019-09-26,1739.84,1762.79,1763.37,1731.5,3.57,9,2019,0.00833985337158416,Slight or No change
21,2019-09-25,1768.33,1747.36,1773.0,1723.0,3.53,9,2019,0.016375068971859585,Slight or No change
22,2019-09-24,1741.61,1790.61,1795.7,1735.55,4.64,9,2019,-0.01511030181018247,Slight or No change
23,2019-09-23,1785.3,1777.0,1792.7,1767.32,3.14,9,2019,0.02508598365879844,Slight or No change
24,2019-09-20,1794.16,1821.71,1830.63,1780.92,5.56,9,2019,0.004962751358315254,Slight or No change
25,2019-09-19,1821.5,1821.02,1832.57,1817.9,2.08,9,2019,0.015238328800107004,Slight or No change
26,2019-09-18,1817.46,1817.04,1822.06,1795.5,2.54,9,2019,-0.0022179522371671423,Slight or No change
27,2019-09-17,1822.55,1807.08,1823.99,1804.1,2.03,9,2019,0.0028006118429015903,Slight or No change
28,2019-09-16,1807.84,1824.02,1825.69,1800.2,3.68,9,2019,-0.008071109160242562,Slight or No change
29,2019-09-13,1839.34,1842.01,1846.12,1835.17,1.97,9,2019,0.01742410832817054,Slight or No change
30,2019-09-12,1843.55,1837.63,1853.66,1834.28,2.82,9,2019,0.0022888644839997863,Slight or No change
31,2019-09-11,1822.99,1812.14,1833.42,1809.08,2.43,9,2019,-0.011152396192129266,Slight or No change
32,2019-09-10,1820.55,1822.75,1825.81,1805.34,2.61,9,2019,-0.0013384604413628765,Slight or No change
33,2019-09-09,1831.35,1841.0,1850.0,1824.61,3.0,9,2019,0.005932273214138473,Slight or No change
34,2019-09-06,1833.51,1838.22,1840.65,1826.4,2.5,9,2019,0.0011794577770498638,Slight or No change
35,2019-09-05,1840.72,1821.95,1842.0,1815.58,3.33,9,2019,0.003932348337342129,Slight or No change
36,2019-09-04,1800.62,1805.0,1807.63,1796.23,2.33,9,2019,-0.02178495371376421,Slight or No change
37,2019-09-03,1789.84,1770.0,1800.8,1768.0,3.55,9,2019,-0.0059868267596716596,Slight or No change
38,2019-08-30,1776.29,1797.49,1799.74,1764.57,3.06,8,2019,-0.00757050909578505,Slight or No change
39,2019-08-29,1786.4,1783.0,1798.55,1777.25,3.02,8,2019,0.00569163818971008,Slight or No change
